Putouts,Assists,Errors,Positions
1,0.209445585,0.296296296,1B
0.758345428,0.180698152,0.481481481,1B
0.774310595,0.32238193,0.518518519,1B
0.886792453,0.285420945,0.555555556,1B
0.689767779,0.140657084,0.222222222,1B
0.346637639,0.069815195,0.222222222,1B
0.613933237,0.1724846,0.333333333,1B
0.586357039,0.221765914,0.074074074,1B
0.909288824,0.227926078,0.407407407,1B
0.896952104,0.201232033,0.666666667,1B
0.394049347,0.122176591,0.148148148,1B
0.371190131,0.092402464,0.259259259,1B
0.883889695,0.213552361,0.37037037,1B
0.584179971,0.082135524,0.148148148,1B
0.934687954,0.255646817,0.203703704,1B
0.661828737,0.180698152,0.333333333,1B
0.857764877,0.197125257,0.481481481,1B
0.957910015,0.340862423,0.62962963,1B
0.84179971,0.108829569,0.259259259,1B
0.391872279,0.089322382,0.222222222,1B
0.638606676,0.168377823,0.518518519,1B
0.452104499,0.071868583,0.111111111,1B
0.888243832,0.23613963,0.407407407,1B
0.953555878,0.26899384,0.444444444,1B
0.204644412,1,0.703703704,2B
0.088171263,0.298767967,0.203703704,2B
0.21988389,0.924024641,0.518518519,2B
0.095065312,0.490759754,0.259259259,2B
0.160014514,0.715605749,0.185185185,2B
0.266328012,0.975359343,0.703703704,2B
0.254716981,0.907597536,0.62962963,2B
0.200290276,0.864476386,0.407407407,2B
0.190130624,0.675564682,0.592592593,2B
0.229317852,0.901437372,0.37037037,2B
0.266328012,0.887063655,0.592592593,2B
0.220609579,0.712525667,0.37037037,2B
0.209724238,0.835728953,0.222222222,2B
0.089259797,0.421971253,0.185185185,2B
0.152878568,0.577686516,0.567901235,2B
0.116110305,0.595482546,0.407407407,2B
0.210449927,0.90349076,0.925925926,2B
0.203193033,0.983572895,0.185185185,2B
0.136066763,0.429158111,0.240740741,2B
0.185050798,0.924024641,0.62962963,2B
0.201741655,0.852156057,0.592592593,2B
0.255442671,0.850102669,0.333333333,2B
0.120464441,0.433264887,0.259259259,2B
0.162554427,0.587268994,0.296296296,2B
0.047169811,0.529774127,0.296296296,3B
0.027939042,0.218685832,0.444444444,3B
0.087808418,0.54825462,0.703703704,3B
0.053338171,0.27926078,0.259259259,3B
0.035800677,0.256673511,0.320987654,3B
0.076197388,0.595482546,0.37037037,3B
0.079100145,0.599589322,0.925925926,3B
0.077648766,0.496919918,0.851851852,3B
0.04245283,0.304928131,0.592592593,3B
0.070391872,0.447638604,0.592592593,3B
0.052249637,0.349075975,0.888888889,3B
0.046081277,0.299794661,0.759259259,3B
0.08563135,0.685831622,0.777777778,3B
0.068214804,0.554414784,0.592592593,3B
0.069303338,0.5,0.648148148,3B
0.04862119,0.301848049,0.148148148,3B
0.043541364,0.32238193,0.351851852,3B
0.066763425,0.527720739,0.740740741,3B
0.060232221,0.357289528,0.592592593,3B
0.052975327,0.363449692,0.666666667,3B
0.079825835,0.632443532,0.555555556,3B
0.096516691,0.761806982,0.740740741,3B
0.080551524,0.464065708,0.407407407,3B
0.043541364,0.361396304,0.222222222,3B
0.494920174,0.190965092,0.481481481,C
0.478229318,0.108829569,0.259259259,C
0.628447025,0.133470226,0.222222222,C
0.589259797,0.1724846,0.407407407,C
0.363086599,0.108829569,0.185185185,C
0.531204644,0.170431211,0.481481481,C
0.292089985,0.064681725,0.444444444,C
0.350507983,0.098562628,0.222222222,C
0.458635704,0.088295688,0.37037037,C
0.497822932,0.094455852,0.148148148,C
0.384615385,0.111909651,0.481481481,C
0.296081277,0.089322382,0.148148148,C
0.239235607,0.043805613,0.185185185,C
0.29245283,0.074948665,0.203703704,C
0.349540397,0.063655031,0.172839506,C
0.276850508,0.045174538,0.185185185,C
0.269230769,0.061601643,0.314814815,C
0.587808418,0.203285421,0.666666667,C
0.324383164,0.094455852,0.185185185,C
0.348330914,0.117043121,0.166666667,C
0.253991292,0.068788501,0.148148148,C
0.263788099,0.079055441,0.296296296,C
0.386792453,0.082135524,0.148148148,C
0.514513788,0.084188912,0.259259259,C
0.058417997,0.006160164,0.074074074,OF
0.161103048,0.01026694,0.185185185,OF
0.104499274,0.012320329,0.185185185,OF
0.116835994,0.006160164,0.111111111,OF
0.063860668,0,0.111111111,OF
0.119013062,0.003080082,0.111111111,OF
0.047169811,0,0,OF
0.089622642,0.008213552,0.092592593,OF
0.105224964,0.01026694,0.259259259,OF
0.112481858,0.006160164,0.074074074,OF
0.08563135,0,0,OF
0.070391872,0.004106776,0.074074074,OF
0.098451863,0.009582478,0.111111111,OF
0.058055152,0.008213552,0,OF
0.103047896,0.011293634,0.074074074,OF
0.077648766,0.006160164,0.111111111,OF
0.147314949,0.006160164,0.111111111,OF
0.074746009,0.01026694,0.049382716,OF
0.132075472,0.018480493,0.148148148,OF
0.087082729,0.013347023,0.074074074,OF
0.145137881,0.014373717,0.222222222,OF
0.103773585,0.595482546,0.703703704,SS
0.174165457,0.98973306,0.481481481,SS
0.068214804,0.289527721,0.462962963,SS
0.178519594,0.798767967,0.666666667,SS
0.210812772,0.948665298,1,SS
0.077648766,0.420944559,0.592592593,SS
0.167634253,0.767967146,0.666666667,SS
0.172714078,0.9137577,0.814814815,SS
0.089985486,0.427104723,0.314814815,SS
0.080914369,0.472279261,0.462962963,SS
0.124818578,0.650924025,0.925925926,SS
0.153846154,0.671457906,0.740740741,SS
0.165457184,0.77412731,0.962962963,SS
0.065312046,0.350102669,0.444444444,SS
0.099056604,0.531827515,0.518518519,SS
0.204644412,0.864476386,0.925925926,SS
0.166182874,0.833675565,0.814814815,SS
0.08490566,0.552361396,0.444444444,SS
0.150217707,0.735112936,0.740740741,SS
0.180696662,0.911704312,0.592592593,SS
0.151669086,0.76386037,0.62962963,SS
0.166182874,0.930184805,0.555555556,SS
0.142235123,0.726899384,0.555555556,SS
0.213352685,0.9137577,0.481481481,SS
0.121190131,0.036960986,0.222222222,UT
0.164731495,0.08110883,0.333333333,UT
0.044992743,0.184804928,0.111111111,UT
0.095791001,0.018480493,0,UT
0.111030479,0.457905544,0.37037037,UT
0.076923077,0.295687885,0.259259259,UT
0.074746009,0.1724846,0.185185185,UT
0.222786647,0.051334702,0.037037037,UT
0.159651669,0.032854209,0.148148148,UT
0.058780842,0.301848049,0.148148148,UT
0.058055152,0.092402464,0.296296296,UT
0.063134978,0.340862423,0.518518519,UT
0.129172714,0.092402464,0.148148148,UT